strain,reference_strain,isotype,previous_names,sequenced,warning_message,release,source_lab,collection_group,c_label,s_label,latitude,longitude,landscape,substrate,substrate_comment,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolated_by,sampled_by,isolation_date,isolation_date_comment,notes,state,country,set_divergent,set_1,set_2,set_3,set_4,set_5,set_6,set_7
JU1656,0,JU1213,P09-19.3,1,,20170531,JU,,,,48.725018,-3.972104,Wet shrubland,Rotting stem,"rotting fern stem, Pteridium aquilinum",,,,,NA,M.-A. Félix,M.-A. Félix,2009-07-14,NA,NA,Brittany,France,,,,,,,,
JU1666,1,JU1666,P09-21.1,1,,20170531,JU,,,,48.7049,-3.7941,Wet shrubland,Rotting fruit,rotting sloe (Prunus spinosa),,,,,NA,M.-A. Félix,M.-A. Félix,2009-07-14,NA,NA,Brittany,France,,,,,,TRUE,,
JU1762,0,JU1213,P142.6.1,1,,20170531,JU,,,,48.695548,-3.790033,Wet shrubland,Rotting stem,rotting Heracleum stem,,,,,NA,M.-A. Félix,M.-A. Félix,2009-08-16,NA,NA,Brittany,France,,,,,,,,
JU1770,0,JU1213,P132.4.1,1,,20170531,JU,,,,48.695548,-3.790033,Wet shrubland,Rotting stem,rotting fern stem,,,,,NA,M.-A. Félix,M.-A. Félix,2009-08-16,NA,NA,Brittany,France,,,,,,,,
JU1792,1,JU1792,B09.6.2,1,,20170531,JU,,,,46.63278,1.064289,Forest,Rotting stem,rotting Arum stem sampled in woods,,,,,NA,M.-A. Félix,M.-A. Félix,2009-09-27,NA,NA,Centre-Val de Loire,France,,,,,,TRUE,,
JU1793,1,JU1793,S53.9.1 ,1,,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem,,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-10,NA,NA,Île-de-France,France,,,,,TRUE,,,
JU1807,0,JU1581,O145.1.1,1,,20170531,JU,,,,48.662134,2.2131,Rural garden,Rotting fruit,rotting apple O145 (Kidd’s Orange),,,,,NA,M.-A. Félix,M.-A. Félix,2008-10-23,NA,NA,Île-de-France,France,,,,,,,,
JU1808,1,JU1808,I72.1,1,,20170531,JU,,,,48.81257,2.395372,Urban garden,Snail,"live isopod, Helix aspersa snail",,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-14,NA,NA,Île-de-France,France,,,,,TRUE,,,
JU1896,1,JU1896,NA,1,,20160408,JU,,,,37.999722,23.749673,Urban garden,Rotting fruit,"rotting fruit, olive",,,,,NA,M. Barkoulas,M. Barkoulas,2010-01-02,NA,"Collected on 2 Jan 10 from rotten olives in Alsos Polygonou, Athens, Greece.",Attica,Greece,,,,TRUE,,,,
JU1920,0,JU1793,S60.1.1,1,,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S60,,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-25,NA,NA,Île-de-France,France,,,,,,,,
JU1922,0,JU1793,S68.1.1,1,,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S68,,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-25,NA,NA,Île-de-France,France,,,,,,,,
JU1924,0,JU2600,S73.1.1,1,,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S68,,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-25,NA,NA,Île-de-France,France,,,,,,,,
JU1929,0,JU1793,S86.1.1,1,,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S86,,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-25,NA,NA,Île-de-France,France,,,,,,,,
JU1934,1,JU1934,S106.1.1,1,,20170531,JU,,,,49.12604,1.95114,Forest,Rotting stem,rotting Heracleum stem S106 ,,,,,NA,M.-A. Félix,M.-A. Félix,2009-10-25,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU1960,0,CB4858,NA,1,,20170531,JU,,,,34.18973,-118.131319,Urban garden,Compost,compost in the same garden in Altadena as PS2025,,,,,NA,J. DeModena,J. DeModena,2008-11-30,,NA,California,United States,,,,,,,,
JU2001,1,JU2001,NA,1,,20160408,JU,,,,-21.1,55.5,Forest,Rotting flower,rotting flower,,,,,NA,T. Bélicard,T. Bélicard,2010-09-01,only month/year (September 2010) is known,Sampled in La Réunion in Sep 2010 by Tony Belicard,Saint-Benoît,Reunion,,,TRUE,,,,,
JU2007,1,JU2007,NA,1,,20160408,JU,,,,50.7608,-1.32413,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M. Barkoulas,M. Barkoulas,2010-10-16,NA,"Wild strain isolated by Michalis Barkoulas in Cowes, Isle of Wight, UK from rotten apples. Oct 2010",England,United Kingdom,,TRUE,,,,,,
JU2016,1,JU2016,SF4.2,1,,20170531,JU,,,,37.757593,-122.463177,Urban garden,Rotting fruit,"rotting fruit, pumpkin",,,,,NA,M.-A. Félix,C. Nelson,2010-11-01,"only month/year (November 2010) is known, but we know it was late November","Isolated from rotten pumpkin sampled by Christopher Nelson in White Crane Garden, San Francisco, USA, in late November 2010",California,United States,,,,,,TRUE,,
JU2017,1,JU2017,SF5.2,1,,20170531,JU,,,,37.757593,-122.463177,Urban garden,Rotting plant,"rotting root, sweet potato",,,,,NA,M.-A. Félix,C. Nelson,2010-11-01,"only month/year (November 2010) is known, but we know it was late November","Isolated from rotten sweet potato sampled by Christopher Nelson in White Crane Garden, San Francisco, USA, in late November 2010",California,United States,,,,,,TRUE,,
JU2106,1,JU2106,13.6.1,1,,20170531,JU,,,,43.606266,0.239824,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2011-07-10,NA,NA,Occitanie,France,,,,,,TRUE,,
JU2131,1,JU2131,Trep 1.4,1,,20170531,JU,,,,48.0497,-4.705,Wet shrubland,Rotting stem,"rotting stem, Heracleum sphondylium",,,,,NA,M.-A. Félix,M.-A. Félix,2011-08-09,NA,"Isolated from a rotting Heracleum stem sampled by MAF in Baie des Trépassés (Finistère), France (48.0497, -4.7050) on 9 Aug 2011. Collected at ca. 20 cm from JU2132",Brittany,France,,,,,TRUE,,,
JU2139,0,JU1793,B11.1.1,1,,20170531,JU,,,,46.63278,1.064289,Forest,Rotting nut,rotting acorns sampled in woods,,,,,NA,M.-A. Félix,M.-A. Félix,2011-10-23,NA,NA,Centre-Val de Loire,France,,,,,,,,
JU2141,1,JU2141,B11.10.1,1,,20170531,JU,,,,46.6293,1.0512,Agricultural land,Rotting nut,rotting walnuts (outer layer),,,,,NA,M.-A. Félix,M.-A. Félix,2011-10-23,NA,NA,Centre-Val de Loire,France,,,,,TRUE,,,
JU2151,0,JU2600,S173.17.1,1,,20170531,JU,,,,49.121,1.951,Forest,Rotting stem,rotting Heracleum stem S173,,,,,NA,M.-A. Félix,M.-A. Félix,2011-10-31,NA,NA,Île-de-France,France,,,,,,,,
JU2234,1,JU2234,prune7.2,1,,20170531,JU,,,,47.227,-1.583,Urban garden,Rotting fruit,rotten plum,,,,,NA,L. Frézal,L. Frézal,2012-11-11,NA,NA,Pays de la Loire,France,,,,,TRUE,,,
JU2250,1,JU2250,C1,1,,20170531,JU,,,,48.285278,-1.891389,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,L. Frézal,L. Frézal,2012-11-15,NA,"Isolated by Lise Frézal from an apple collected in Cardroc (Ile et Vilaine, France;48.285278, -1.891389) on the 15 Nov 2012. L4 individual isolated on 19 Nov 2012",Brittany,France,,,,,,TRUE,,
JU2257,1,JU2257,B13-5.5,1,,20170531,JU,,,,46.6,1.1,Rural garden,Compost,compost (in container),,,,,NA,M.-A. Félix,M.-A. Félix,2013-08-15,NA,NA,Centre-Val de Loire,France,,,,,,TRUE,,
JU2287,0,JU2257,B13-5.8,1,,20170531,JU,,,,46.6,1.1,Rural garden,Compost,compost (in container),,,,,NA,M.-A. Félix,M.-A. Félix,2013-08-15,NA,NA,Centre-Val de Loire,France,,,,,,,,
JU2316,1,JU2316,L13-1.3,1,,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,Isolated from rotten Ficus macrophylla fruits; botanical gardens,,,,,NA,M.-A. Félix,M.-A. Félix,2013-08-25,NA,"Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a post-dauer juvenile on 26 Aug. Same sample as JU2317 and JU2377",Lisbon,Portugal,,,,TRUE,,,,
JU2460,0,JU792,Callot 1.1,1,,20170531,JU,,,,48.6934,-3.9251,Agricultural land,Rotting plant,"rotting plant, cabbage leaves",,,,,NA,M.-A. Félix,M.-A. Félix,2012-12-28,NA,"Isolated from rotting cabbage leaves sampled in a field on Ile Callot (Finistère, France; 48.6934, -3.9251) on 28 Dec 2012 by MAF.",Bretagne,France,,,,,,,,
JU2464,1,JU2464,Ag. Cal 2,1,,20160408,JU,,,,-13.155,-72.525,NA,Rotting fruit,fleshy fruit; rotten berry?,,,,,NA,L. Frezal,L. Lokmane,2013-01-01,Only month/year (January 2013) is known,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult isolated on 9 Jan 2013",Cusco,Peru,,,TRUE,,,,,
JU2466,1,JU2466,ollanta 3A1,1,,20160408,JU,,,,-13.257,-72.266,NA,Rotting fruit,"rotting fruit, lemon",,,,,NA,L. Frezal,L. Lokmane,2013-01-01,Only month/year (January 2013) is known,"From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Frézal. Line started from an adult isolated on 9 Jan 2013",Cusco,Peru,,TRUE,,,,,,
JU2467,0,JU2464,Ag. cal 5,1,,20160408,JU,,,,-13.155,-72.525,NA,Rotting fruit,fleshy fruit; rotten berry?,,,,,NA,L. Frezal,L. Lokmane,2013-01-01,Only month/year (January 2013) is known,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal. Line started from an adult on 9 Jan 2013.",Cusco,Peru,,,,,,,,
JU2468,0,JU2464,Ag. cal 1,1,,20160408,JU,,,,-13.155,-72.525,NA,Rotting fruit,fleshy fruit; rotten berry?,,,,,NA,L. Frezal,L. Lokmane,2013-01-01,Only month/year (January 2013) is known,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult on 9 Jan 2013.",Cusco,Peru,,,,,,,,
JU2478,1,JU2478,Brux1,1,,20170531,JU,,,,50.85,4.351,Urban garden,Compost,compost heap,,,,,NA,M.-A. Félix,D. Thieffry,2013-02-01,Only month/year (February 2013) is known,"Isolated from Denis Thieffry’s compost heap in Brussels, Belgium in Feb 2013",Brussels,Belgium,,,,,,TRUE,,
JU2513,1,JU2513,G6.1,1,,20160408,JU,,,,38.26016,22.0736,NA,Rotting fruit,rotting orange,,,,,NA,M.-A. Félix,M.-A. Félix,2013-05-07,NA,"Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736",Peloponnisos Dytiki Ellada ke Ionio,Greece,,,TRUE,,,,,
JU2519,1,JU2519,L13-5.3,1,,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,Isolated from rotten Ficus isophlebia fruits; botanical gardens,,,,,NA,M.-A. Félix,M.-A. Félix,2013-08-25,NA,"Isolated from rotten Ficus isophlebia fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2520-1. Same tree as JU778-81",Lisbon,Portugal,,TRUE,,,,,,
JU2522,1,JU2522,NA,1,,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae); botanical gardens,,,,,NA,M.-A. Félix,M.-A. Félix,2013-08-25,NA,"Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae) sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a young adult on 27 Aug. Same sample as JU2523. Same tree as JU775-7",Lisbon,Portugal,,,TRUE,,,,,
JU2526,1,JU2526,L13-7.9,1,,20160408,JU,,,,38.7175,-9.1486,Botanical garden zoo,Rotting fruit,Isolated from rotten fruits of Chrysophyllum imperiale; botanical gardens,,,,,NA,M.-A. Félix,M.-A. Félix,2013-08-25,NA,"Isolated from rotten fruits of Chrysophyllum imperiale sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a dauer juvenile on 26 Aug. Same sample as JU2524-5.",Lisbon,Portugal,,,,TRUE,,,,
JU2527,0,JU792,Ap4,1,,20170531,JU,,,,47.8797,-3.5999,Rural garden,Rotting fruit,"rotten fruit, apples",,,,,NA,L. Frézal,F. Besnard,2013-08-19,NA,NA,Brittany,France,,,,,,,,
JU2534,1,JU2534,NA,1,,20170531,JU,,,,49.357921,0.097087,Rural garden,Rotting fruit,cherry,,,,,NA,S. Marsh,S. Marsh,2013-06-09,NA,NA,Normandy,France,,,,,TRUE,,,
JU2565,1,JU2565,NA,1,,20170531,JU,,,,44.958394,1.066213,Rural garden,Rotting fruit,"rotting fruit, figs",,,,,NA,L. Frézal,T. Bélicard,2013-10-05,NA,NA,Nouvelle-Aquitaine,France,,,,,TRUE,,,
JU2566,1,JU2566,parc5,1,,20170531,JU,,,,48.83886,2.44599,Botanical garden zoo,Rotting stem,rotting Gunnera stems in the Parc Floral,,,,,NA,L. Frézal,M.-A. Félix,2013-10-02,NA,NA,Île-de-France,France,,,,,TRUE,,,
JU2570,1,JU2570,niort 7.2,1,,20170531,JU,,,,46.2657,-0.2685,Agricultural land,Rotting nut,rotting walnuts,,,,,NA,L. Frézal,F. Besnard,2013-11-13,NA,NA,Nouvelle-Aquitaine,France,,,,,,TRUE,,
JU2572,1,JU2572,i6-3,1,,20170531,JU,,,,48.81257,2.395372,Urban garden,Rotting stem,rotting Petasites stems,,,,,NA,S. Marsh,S. Marsh,2013-10-01,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU2575,1,JU2575,CR37.1,1,,20170531,JU,,,,49.0857,3.0707,Forest,Rotting stem,"rotting stem, Heracleum",,,,,NA,M.-A. Félix,M.-A. Félix and S. Marsh,2013-10-26,NA,"Isolated from rotting Heracleum stem sampled by Sarah Marsh and MAF on 26 Oct 2013 near Crouy-sur-Ourcq (Seine-et-Marne), France. Isogenic line started from an adult isolated on 26 Oct. GPS 49.0857, 3.0707.",Île-de-France,France,,,,,,TRUE,,
JU2576,1,JU2576,CR38.1,1,,20170531,JU,,,,49.0861,3.072,Forest,Rotting stem,rotting stem,,,,,NA,M.-A. Félix,M.-A. Félix and S. Marsh,2013-10-26,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU2578,1,JU2578,Bagn.3,1,,20170531,JU,,,,48.87613,2.4315,Botanical garden zoo,Compost,compost in the “jardin partagé” ,,,,,NA,M.-A. Félix,M.-A. Félix,2013-10-27,NA,NA,Île-de-France,France,,,,,TRUE,,,
JU258,1,JU258,M 1.1,1,,20160408,CGC,,,,32.73,-16.89,Agricultural land,Soil,soil,,,,,NA,M.-A. Félix,M.-A. Félix,2001-10-01,NA,"From Madeira Island, Portugal, Oct 01. Ribeiro Frio 1.1. Along a path through an orchard.",Madeira,Portugal,TRUE,,,,,,,
JU2581,1,JU2581,B13_28.2,1,,20170531,JU,,,,46.6,1.1,Urban garden,Rotting fruit,pears sampled in the garden,,,,,NA,M.-A. Félix,M.-A. Félix,2013-11-03,NA,NA,Centre-Val de Loire,France,,,,,,TRUE,,
JU2586,1,JU2586,Poire3.1,1,,20170531,JU,,,,48.897,2.159,Urban garden,Rotting fruit,"rotting fruit, pear",,,,,NA,L. Frézal,A. Zalmanski,2013-11-11,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU2587,1,JU2587,NA,1,,20170531,JU,,,,45.026713,3.872016,Urban garden,Compost,compost,,,,,NA,A. Richaud,A. Richaud,2013-11-10,NA,NA,Auvergne-Rhône-Alpes,France,,,,,TRUE,,,
JU2592,1,JU2592,plu5.6,1,,20170531,JU,,,,48.628558,-2.403836,Rural garden,Rotting fruit,"rotting fruit, peach",,,,,NA,L. Frézal,L. Frézal,2013-11-11,NA,NA,Brittany,France,,,,,,TRUE,,
JU2593,1,JU2593,OB1.4,1,,20170531,JU,,,,48.822556,2.222334,Urban garden,Compost,compost,,,,,NA,L. Frézal,O. Bensaude,2013-01-01,Only year (2013) information is known.,NA,Île-de-France,France,,,,,TRUE,,,
JU2600,1,JU2600,S333.1,1,,20170531,JU,,,,49.1242,1.9496,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix and S. Marsh,2013-11-20,NA,NA,Île-de-France,France,,,,,TRUE,,,
JU2604,0,JU1793,Nu1.1,1,,20170531,JU,,,,49.16477,1.86175,Rural garden,Rotting nut,rotting walnuts,,,,,NA,M.-A. Félix,M.-A. Félix and S. Marsh,2013-11-20,NA,NA,Île-de-France,France,,,,,,,,
JU2605,0,JU1793,Nu7.1,1,,20170531,JU,,,,49.166,1.86,Rural garden,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix and S. Marsh,2013-11-20,NA,NA,Île-de-France,France,,,,,,,,
JU2610,1,JU2610,Wy5.2,1,,20170531,JU,,,,49.1075,1.7915,Agricultural land,Rotting fruit,"rotting fruit, apple",,,,,NA,M.-A. Félix,M.-A. Félix and S. Marsh,2013-11-20,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU2619,1,JU2619,SB01; SB13-1; SB13-01;,1,,20170531,JU,,,,32.998352,-117.275428,Urban garden,Compost,compost,,,,,NA,M.-A. Félix,S. Marsh,2014-01-01,Only month/year (January 2014) is known. ,"Isolated from compost from Solana Beach (32.998352, -117.275428), California by Sarah Marsh in January 2014.",California,United States,,,,,,TRUE,,
JU262,0,JU310,B 2.2,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2001-11-03,NA,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU263.",Centre,France,,,,,,,,
JU263,0,JU310,B 2.1,1,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2001-11-03,NA,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU262.",Centre,France,,,,,,,,
JU2800,1,JU2800,Ca4.1,1,,20170531,JU,,,,48.79,2.331,Urban garden,Rotting fruit,"rotting fruit, pear",,,,,NA,M.-A. Félix,M. Casado,2014-09-01,only year and month (September 2014) are known,NA,Île-de-France,France,,,,,TRUE,,,
JU2802,0,JU2800,NA,1,,20170531,JU,,,,48.9067,2.14167,Rural garden,Rotting fruit,"rotting fruit, rhubarb stems",,,,,NA,F. Besnard,F. Besnard,2014-09-14,NA,NA,Île-de-France,France,,,,,,,,
JU2811,1,JU2811,Syd 2.2,1,,20170531,JU,,,,-33.8632,151.219453,Botanical garden zoo,Rotting fruit,rotting ficus fruit,,,,,NA,S. Marsh,S. Marsh,2014-09-24,NA,NA,New South Wales,Australia,,,,,,TRUE,,
JU2825,1,JU2825,MI-11-14-5.1,1,,20170531,JU,,,,48.8092,2.3862,NA,Rotting stem,rotting Petasites stem,,,,,NA,R. Luallen,R. Luallen,2014-11-14,NA,NA,Île-de-France,France,,,,,,TRUE,,
JU2828,0,JU2829,B10_6.1,1,,20170531,JU,,,,46.632,1.064,NA,Rotting fruit,"rotting fruit, pears",,,,,NA,M.-A. Félix,M.-A. Félix,2010-10-03,NA,NA,Centre-Val de Loire,France,,,,,,,,
JU2829,1,JU2829,B10_6.2,1,,20170531,JU,,,,46.632,1.064,NA,Rotting fruit,"rotting fruit, pears",,,,,NA,M.-A. Félix,M.-A. Félix,2010-10-03,NA,NA,Centre-Val de Loire,France,,,,,,TRUE,,
JU2830,0,JU2829,B10_6.3,1,,20170531,JU,,,,46.632,1.064,NA,Rotting fruit,"rotting fruit, pears",,,,,NA,M.-A. Félix,M.-A. Félix,2010-10-03,NA,NA,Centre-Val de Loire,France,,,,,,,,
JU2838,1,JU2838,Puebla2,1,,20170531,JU,,,,20.205961,-97.98832,NA,Rotting fruit,"rotting fruit, orange",,,,,NA,A. Vargas Velazquez,A. Vargas Velazquez,2015-01-01,NA,1300 m elevation,Puebla,Mexico,,,,,,TRUE,,
JU2841,1,JU2841,NA,1,,20170531,JU,,,,-40,176,NA,Slug,slug,,,,,NA,M. Wilson,M. Wilson,2015-03-01,only year and month (March 2015) is known,NA,,New Zealand,,,,,,TRUE,,
JU2853,1,JU2853,Port 1.1,1,,20170531,JU,,,,41.19,-7.545,NA,Soil,soil from a pot plant,,,,,NA,M.-A. Félix,M. Félix and B. Félix,2015-05-01,only year and month (May 2015) is known,NA,Vila Real District,Portugal,,,,,,TRUE,,
JU2860,0,JU1200,Cam4.2,1,,20170531,JU,,,,52.19842,0.115365,Rural garden,Rotting fungus,"rotting wood, fungus, rotting leaf sample",,,,,NA,M.-A. Félix,M.-A. Félix,2015-06-06,NA,NA,England,United Kingdom,,,,,,,,
JU2862,1,JU2862,Cam7.3,1,,20170531,JU,,,,52.1944,0.1264,Botanical garden zoo,Rotting plant,"rotting plant, lowers of Napoleona vogelli",,,,,NA,M.-A. Félix,M.-A. Félix,2015-06-06,NA,NA,England,United Kingdom,,,,,TRUE,,,
JU2866,1,JU2866,U4.6,1,,20170531,JU,,,,34.0751,-118.4409,Botanical garden zoo,Rotting fruit,"rotting fruit, unidentified",,,,,NA,M.-A. Félix,M.-A. Félix,2015-06-28,NA,NA,California,United States,,,,,TRUE,,,
JU2878,1,JU2878,Berry-Mexico,1,,20170531,JU,,,,19.29732,-99.098769,Botanical garden zoo,Rotting fruit,rotten berry in greenhouse,,,,,NA,A. Vargas Velazquez,A. Vargas Velazquez,2015-07-02,NA,2400 m elevation,Mexico City,Mexico,,,,,TRUE,,,
JU2879,1,JU2879,Apple-Mexico,1,,20170531,JU,,,,19.29732,-99.098769,Botanical garden zoo,Rotting fruit,"rotting fruit, apple in green house",,,,,NA,A. Vargas Velazquez,A. Vargas Velazquez,2015-07-02,NA,2400 m elevation,Mexico City,Mexico,,,,,TRUE,,,
JU2906,1,JU2906,F10.3,1,,20170531,JU,,,,43.8023,11.2806,Urban garden,Rotting stem,rotting stems,,,,,NA,M.-A. Félix,M.-A. Félix,2015-12-13,NA,NA,Tuscany,Italy,,,,,TRUE,,,
JU2907,1,JU2907,F13.2,1,,20170531,JU,,,,43.8021,11.2906,Rural garden,Compost,"Isolated from a heap (rotting leaves, acorns, horse chestnuts, moss)",,,,,NA,M.-A. Félix,M.-A. Félix,2015-12-13,NA,NA,Tuscany,Italy,,,,,,TRUE,,
JU2908,0,JU2907,F16.2,1,,20170531,JU,,,,43.8063,11.2839,Rural garden,Leaf litter,"Isolated from rich and humid humus (soil, leaves, rotting hawthorn fruits)",,,,,NA,M.-A. Félix,M.-A. Félix,2015-12-13,NA,NA,Tuscany,Italy,,,,,,,,
JU299,0,JU310,LB14.4,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU300,0,JU310,LB14.11,1,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU301,0,JU310,LB14.2,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU302,0,JU310,LB14.3,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU303,0,JU310,LB14.1,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU305,0,JU310,LB14.7,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU306,0,JU310,LB14.6,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
JU307,0,JU310,LB14.13,0,,20160408,JU,,,,46.63,1.06,Rural garden,Compost,compost heap,,,,,NA,M.-A. Félix,M.-A. Félix,2002-08-25,NA,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02.",Centre,France,,,,,,,,
